Nomor,Operasi,Volume,Jumlah Client Worker,Waktu Total per Client (seconds),Throughput per Client (bytes/second),Client Workers Sukses,Client Workers Gagal
1,upload,test_10mb.bin,1,0.26,40218469.68,1,0
2,upload,test_10mb.bin,5,0.12,88645772.00,5,0
3,upload,test_10mb.bin,50,0.12,90119726.65,50,0
4,upload,test_50mb.bin,1,2.08,25203540.28,1,0
5,upload,test_50mb.bin,5,1.49,35136474.05,5,0
6,upload,test_50mb.bin,50,1.53,34302546.16,50,0
7,upload,test_100mb.bin,1,6.67,15718133.15,1,0
8,upload,test_100mb.bin,5,6.72,15597476.11,5,0
9,upload,test_100mb.bin,50,7.75,13536263.86,50,0
10,download,test_10mb.bin,1,0.39,26623508.41,1,0
11,download,test_10mb.bin,5,0.29,35989482.73,5,0
12,download,test_10mb.bin,50,0.28,37433205.13,50,0
13,download,test_50mb.bin,1,5.34,9825273.52,1,0
14,download,test_50mb.bin,5,4.17,12584593.18,5,0
15,download,test_50mb.bin,50,4.24,12355733.49,50,0
16,download,test_100mb.bin,1,13.29,7890971.88,1,0
17,download,test_100mb.bin,5,13.26,7908867.19,5,0
18,download,test_100mb.bin,50,13.83,7580224.91,50,0
