Nomor,Operasi,Volume,Jumlah Client Worker,Jumlah Server Worker,Waktu Total per Client (seconds),Throughput per Client (bytes/second),Client Workers Sukses,Client Workers Gagal
1,download,10mb,1,1,0.34,30497979.38,1,0
2,download,10mb,5,1,0.26,40930305.97,5,0
3,download,10mb,50,1,0.27,38972416.11,50,0
4,download,50mb,1,1,5.31,9877711.96,1,0
5,download,50mb,5,1,5.25,9993086.33,5,0
6,download,50mb,50,1,4.61,11378354.83,50,0
7,download,100mb,1,1,15.65,6698878.59,1,0
8,download,100mb,5,1,15.16,6918921.57,5,0
9,download,100mb,50,1,14.48,7240122.00,50,0
10,upload,10mb,1,1,0.10,104459467.43,1,0
11,upload,10mb,5,1,0.11,96719755.19,5,0
12,upload,10mb,50,1,0.10,101358421.51,50,0
13,upload,50mb,1,1,2.11,24882021.04,1,0
14,upload,50mb,5,1,2.61,20060638.28,5,0
15,upload,50mb,50,1,2.41,21749068.49,50,0
16,upload,100mb,1,1,7.32,14329638.11,1,0
17,upload,100mb,5,1,7.24,14476726.32,5,0
18,upload,100mb,50,1,8.83,11878146.66,50,0
19,download,10mb,1,5,0.30,35359813.34,1,0
20,download,10mb,5,5,0.24,43890787.45,5,0
21,download,10mb,50,5,0.23,45056654.11,50,0
22,download,50mb,1,5,5.28,9921023.15,1,0
23,download,50mb,5,5,2.87,18265858.37,5,0
24,download,50mb,50,5,2.70,19406489.80,50,0
25,download,100mb,1,5,15.61,6715749.31,1,0
26,download,100mb,5,5,9.82,10677098.11,5,0
27,download,100mb,50,5,9.93,10555877.83,50,0
28,upload,10mb,1,5,0.10,105134680.24,1,0
29,upload,10mb,5,5,0.10,105586076.02,5,0
30,upload,10mb,50,5,0.09,114537478.21,50,0
31,upload,50mb,1,5,1.92,27325110.65,1,0
32,upload,50mb,5,5,1.55,33732529.42,5,0
33,upload,50mb,50,5,1.69,30968002.71,50,0
34,upload,100mb,1,5,7.26,14437809.40,1,0
35,upload,100mb,5,5,5.19,20210545.11,5,0
36,upload,100mb,50,5,6.94,15118577.27,50,0
37,download,10mb,1,50,0.35,29671602.06,1,0
38,download,10mb,5,50,0.25,42112876.94,5,0
39,download,10mb,50,50,0.19,55247605.40,50,0
40,download,50mb,1,50,5.42,9680568.20,1,0
41,download,50mb,5,50,2.91,18031432.31,5,0
42,download,50mb,50,50,3.40,15436881.47,50,0
43,download,100mb,1,50,15.55,6743263.03,1,0
44,download,100mb,5,50,10.55,9936494.21,5,0
45,download,100mb,50,50,17.87,5866500.92,50,0
46,upload,10mb,1,50,0.15,68310361.71,1,0
47,upload,10mb,5,50,0.15,70521770.78,5,0
48,upload,10mb,50,50,0.16,63630754.31,50,0
49,upload,50mb,1,50,2.18,24057161.31,1,0
50,upload,50mb,5,50,1.70,30864743.14,5,0
51,upload,50mb,50,50,1.65,31810254.80,50,0
52,upload,100mb,1,50,8.74,11994190.03,1,0
53,upload,100mb,5,50,5.55,18879664.04,5,0
54,upload,100mb,50,50,17.35,6044258.64,50,0 
